,Corrected_Label,TreeID,Day_of_year,Site,Location,Treatment,Status,Resinosis,Entryholes,Precipitation,Mean_temperature,Maximum_VPD,Elevation,Diameter,Phloem..mg.,Solvent..ul.,Value,upper_quantile,Value_Winz
17,.alpha.-Phellandrene,103,260,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,110,500,405050,13895237,405050
18,.alpha.-Phellandrene,107,160,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,117.4,200,291983,13895237,291983
19,.alpha.-Phellandrene,107,170,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,116.8,200,81443,13895237,81443
20,.alpha.-Phellandrene,107,190,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,114.3,200,195433,13895237,195433
21,.alpha.-Phellandrene,107,200,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,111.2,500,1941865,13895237,1941865
22,.alpha.-Phellandrene,107,210,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,115.3,200,273300,13895237,273300
23,.alpha.-Phellandrene,107,225,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,110,200,527074,13895237,527074
24,.alpha.-Phellandrene,107,240,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,111.8,200,393600,13895237,393600
25,.alpha.-Phellandrene,107,260,Cameron pass,I,Baited,Survived-Uncolonized,0.15,59.18,1054.5572,1.153240741,0.814525,3100,25.4,118.5,200,398132,13895237,398132
26,.alpha.-Phellandrene,109,160,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,115.2,200,556016,13895237,556016
27,.alpha.-Phellandrene,109,170,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,110.4,200,328271,13895237,328271
28,.alpha.-Phellandrene,109,180,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,114,200,496482,13895237,496482
29,.alpha.-Phellandrene,109,190,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,103.7,200,246847,13895237,246847
30,.alpha.-Phellandrene,109,200,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,108.9,500,2913042.5,13895237,2913042.5
31,.alpha.-Phellandrene,109,210,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,120,500,1021502.5,13895237,1021502.5
32,.alpha.-Phellandrene,109,225,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,109,500,13368182.5,13895237,13368182.5
33,.alpha.-Phellandrene,109,240,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,108.4,200,693154,13895237,693154
34,.alpha.-Phellandrene,109,260,Cameron pass,I,Baited,Survived-Colonized,0.15,75.32,1054.5572,1.153240741,0.814525,3100,25.4,107.3,200,1025093,13895237,1025093
35,.alpha.-Phellandrene,11,160,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,116.4,200,329598,13895237,329598
36,.alpha.-Phellandrene,11,170,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,115.4,200,52275,13895237,52275
37,.alpha.-Phellandrene,11,180,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,114.5,200,68052,13895237,68052
38,.alpha.-Phellandrene,11,190,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,113.6,200,322105,13895237,322105
39,.alpha.-Phellandrene,11,200,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,114.2,500,3694662.5,13895237,3694662.5
40,.alpha.-Phellandrene,11,225,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,114,200,285358,13895237,285358
41,.alpha.-Phellandrene,11,240,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,115.2,200,284784,13895237,284784
42,.alpha.-Phellandrene,11,260,Cameron pass,II,Baited,Survived-Uncolonized,0.125,26.9,1054.5572,1.153240741,0.814525,3100,33.02,115.6,500,1706957.5,13895237,1706957.5
43,.alpha.-Phellandrene,13,160,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,108.1,200,483478,13895237,483478
44,.alpha.-Phellandrene,13,170,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,117.8,200,123448,13895237,123448
45,.alpha.-Phellandrene,13,180,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,107.7,200,189712,13895237,189712
46,.alpha.-Phellandrene,13,190,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,110.2,200,507613,13895237,507613
47,.alpha.-Phellandrene,13,200,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,114.9,200,1485947,13895237,1485947
48,.alpha.-Phellandrene,13,210,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,104.2,500,5977692.5,13895237,5977692.5
49,.alpha.-Phellandrene,13,225,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,115.3,500,403585,13895237,403585
50,.alpha.-Phellandrene,13,240,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,113.6,500,2588122.5,13895237,2588122.5
51,.alpha.-Phellandrene,13,260,Cameron pass,II,Baited,Survived-Uncolonized,0.075,0,1054.5572,1.153240741,0.814525,3100,30.48,119.1,200,1328479,13895237,1328479
52,.alpha.-Phellandrene,14,160,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,117.3,200,389275,13895237,389275
53,.alpha.-Phellandrene,14,170,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,111.1,200,78910,13895237,78910
54,.alpha.-Phellandrene,14,190,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,115.4,200,478534,13895237,478534
55,.alpha.-Phellandrene,14,200,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,112.6,500,3478377.5,13895237,3478377.5
56,.alpha.-Phellandrene,14,210,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,110.6,500,6346587.5,13895237,6346587.5
57,.alpha.-Phellandrene,14,225,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,113.3,200,549951,13895237,549951
58,.alpha.-Phellandrene,14,240,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,106.4,500,3411230,13895237,3411230
59,.alpha.-Phellandrene,14,260,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,50.8,112.2,200,1069118,13895237,1069118
60,.alpha.-Phellandrene,15,160,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,116.8,200,727165,13895237,727165
61,.alpha.-Phellandrene,15,170,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,112.5,200,110196,13895237,110196
62,.alpha.-Phellandrene,15,180,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,111.4,200,130631,13895237,130631
63,.alpha.-Phellandrene,15,190,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,109.8,200,381804,13895237,381804
64,.alpha.-Phellandrene,15,200,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,109.8,500,4941562.5,13895237,4941562.5
65,.alpha.-Phellandrene,15,210,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,117.7,500,2652972.5,13895237,2652972.5
66,.alpha.-Phellandrene,15,225,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,115.4,200,1008719,13895237,1008719
67,.alpha.-Phellandrene,15,240,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,114.4,200,690609,13895237,690609
68,.alpha.-Phellandrene,15,260,Cameron pass,II,Baited,Survived-Uncolonized,0.175,27.438,1054.5572,1.153240741,0.814525,3100,48.26,106.4,200,738775,13895237,738775
69,.alpha.-Phellandrene,16,160,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,114.6,200,584657,13895237,584657
70,.alpha.-Phellandrene,16,170,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,112.5,200,57131,13895237,57131
71,.alpha.-Phellandrene,16,180,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,113.6,200,241244,13895237,241244
72,.alpha.-Phellandrene,16,190,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,112.4,200,1326040,13895237,1326040
73,.alpha.-Phellandrene,16,200,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,110,200,6384673,13895237,6384673
74,.alpha.-Phellandrene,16,210,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,113.8,200,1171069,13895237,1171069
75,.alpha.-Phellandrene,16,225,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,112.7,200,1014595,13895237,1014595
76,.alpha.-Phellandrene,16,240,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,117.7,500,9363592.5,13895237,9363592.5
77,.alpha.-Phellandrene,16,260,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,115.7,200,2204564,13895237,2204564
78,.alpha.-Phellandrene,17,160,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,30.48,116.7,200,227696,13895237,227696
79,.alpha.-Phellandrene,17,180,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,30.48,109.9,200,68865,13895237,68865
80,.alpha.-Phellandrene,17,200,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,30.48,114.3,500,1750015,13895237,1750015
81,.alpha.-Phellandrene,17,210,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,30.48,117.6,500,1650732.5,13895237,1650732.5
82,.alpha.-Phellandrene,17,225,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,30.48,117.8,200,189964,13895237,189964
83,.alpha.-Phellandrene,17,240,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,30.48,107.7,200,329052,13895237,329052
84,.alpha.-Phellandrene,17,260,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,30.48,114.3,200,208661,13895237,208661
85,.alpha.-Phellandrene,18,160,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,105.2,200,191451,13895237,191451
86,.alpha.-Phellandrene,18,170,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,113.9,200,212933,13895237,212933
87,.alpha.-Phellandrene,18,180,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,111.8,200,139239,13895237,139239
88,.alpha.-Phellandrene,18,190,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,117.7,200,910828,13895237,910828
89,.alpha.-Phellandrene,18,200,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,118.5,200,543479,13895237,543479
90,.alpha.-Phellandrene,18,210,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,112,500,5304440,13895237,5304440
91,.alpha.-Phellandrene,18,225,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,118.8,500,5139512.5,13895237,5139512.5
92,.alpha.-Phellandrene,18,240,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,111.8,200,4610735,13895237,4610735
93,.alpha.-Phellandrene,18,260,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,29.21,111,200,1197245,13895237,1197245
94,.alpha.-Phellandrene,19,160,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,114.4,200,895696,13895237,895696
95,.alpha.-Phellandrene,19,170,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,111.1,200,587436,13895237,587436
96,.alpha.-Phellandrene,19,180,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,109.9,200,1171894,13895237,1171894
97,.alpha.-Phellandrene,19,190,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,110,200,722708,13895237,722708
98,.alpha.-Phellandrene,19,200,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,110.1,500,7064390,13895237,7064390
99,.alpha.-Phellandrene,19,225,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,107.5,500,1073100,13895237,1073100
100,.alpha.-Phellandrene,19,240,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,116.6,200,1224519,13895237,1224519
101,.alpha.-Phellandrene,19,260,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,68.58,104.4,200,1789607,13895237,1789607
102,.alpha.-Phellandrene,2,160,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,114.5,200,582904,13895237,582904
103,.alpha.-Phellandrene,2,170,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,113.8,200,100641,13895237,100641
104,.alpha.-Phellandrene,2,180,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,116.5,200,224947,13895237,224947
105,.alpha.-Phellandrene,2,190,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,113.7,200,338265,13895237,338265
106,.alpha.-Phellandrene,2,200,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,117.8,500,3002540,13895237,3002540
107,.alpha.-Phellandrene,2,210,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,115.2,500,3707185,13895237,3707185
108,.alpha.-Phellandrene,2,225,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,101.9,200,960287,13895237,960287
109,.alpha.-Phellandrene,2,240,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,106.5,200,1058254,13895237,1058254
110,.alpha.-Phellandrene,2,260,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,25.4,114.7,200,484335,13895237,484335
111,.alpha.-Phellandrene,20,160,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,113,200,979692,13895237,979692
112,.alpha.-Phellandrene,20,170,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,117.6,200,626114,13895237,626114
113,.alpha.-Phellandrene,20,180,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,113.4,200,260025,13895237,260025
114,.alpha.-Phellandrene,20,190,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,111.8,200,485713,13895237,485713
115,.alpha.-Phellandrene,20,200,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,105.6,500,5051757.5,13895237,5051757.5
116,.alpha.-Phellandrene,20,225,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,102.7,500,3526165,13895237,3526165
117,.alpha.-Phellandrene,20,240,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,102.5,200,734885,13895237,734885
118,.alpha.-Phellandrene,20,260,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,43.18,107.1,500,2424465,13895237,2424465
119,.alpha.-Phellandrene,200,160,Cameron pass,I,Baited,Survived-Uncolonized,0.5,10.76,1054.5572,1.153240741,0.814525,3100,101.6,118.5,200,360669,13895237,360669
120,.alpha.-Phellandrene,200,180,Cameron pass,I,Baited,Survived-Uncolonized,0.5,10.76,1054.5572,1.153240741,0.814525,3100,101.6,108.1,200,108203,13895237,108203
121,.alpha.-Phellandrene,200,190,Cameron pass,I,Baited,Survived-Uncolonized,0.5,10.76,1054.5572,1.153240741,0.814525,3100,101.6,104.9,200,113966,13895237,113966
122,.alpha.-Phellandrene,200,200,Cameron pass,I,Baited,Survived-Uncolonized,0.5,10.76,1054.5572,1.153240741,0.814525,3100,101.6,105.2,500,2700337.5,13895237,2700337.5
123,.alpha.-Phellandrene,200,210,Cameron pass,I,Baited,Survived-Uncolonized,0.5,10.76,1054.5572,1.153240741,0.814525,3100,101.6,116.5,500,1856707.5,13895237,1856707.5
124,.alpha.-Phellandrene,200,240,Cameron pass,I,Baited,Survived-Uncolonized,0.5,10.76,1054.5572,1.153240741,0.814525,3100,101.6,109.3,200,128904,13895237,128904
125,.alpha.-Phellandrene,21,160,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,111.2,200,385864,13895237,385864
126,.alpha.-Phellandrene,21,170,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,112.7,200,87408,13895237,87408
127,.alpha.-Phellandrene,21,180,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,114.2,200,511503,13895237,511503
128,.alpha.-Phellandrene,21,190,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,115.1,200,1232836,13895237,1232836
129,.alpha.-Phellandrene,21,200,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,110,500,6308562.5,13895237,6308562.5
130,.alpha.-Phellandrene,21,210,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,115,200,691796,13895237,691796
131,.alpha.-Phellandrene,21,225,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,112,200,1612084,13895237,1612084
132,.alpha.-Phellandrene,21,240,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,118.5,500,4225440,13895237,4225440
133,.alpha.-Phellandrene,21,260,Rabbit ears,l,Baited,Survived-Uncolonized,0.15,26.9,762.2794,3.601388889,1.134233333,2800,58.42,110.8,200,1255658,13895237,1255658
134,.alpha.-Phellandrene,22,160,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,118.5,200,338837,13895237,338837
135,.alpha.-Phellandrene,22,170,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,117,200,140177,13895237,140177
136,.alpha.-Phellandrene,22,180,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,114.4,200,756671,13895237,756671
137,.alpha.-Phellandrene,22,190,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,111.5,200,671913,13895237,671913
138,.alpha.-Phellandrene,22,200,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,110.8,500,5529647.5,13895237,5529647.5
139,.alpha.-Phellandrene,22,210,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,107.3,200,612342,13895237,612342
140,.alpha.-Phellandrene,22,225,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,115.4,200,577161,13895237,577161
141,.alpha.-Phellandrene,22,240,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,115.7,200,780064,13895237,780064
142,.alpha.-Phellandrene,22,260,Rabbit ears,l,Baited,Survived-Uncolonized,0.275,10.76,762.2794,3.601388889,1.134233333,2800,40.64,112.2,500,4174305,13895237,4174305
143,.alpha.-Phellandrene,23,160,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,110.7,200,445586,13895237,445586
144,.alpha.-Phellandrene,23,170,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,103.9,200,268204,13895237,268204
145,.alpha.-Phellandrene,23,180,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,107.9,200,1237832,13895237,1237832
146,.alpha.-Phellandrene,23,190,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,103.8,200,645551,13895237,645551
147,.alpha.-Phellandrene,23,200,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,114.9,500,16124617.5,13895237,13895237
148,.alpha.-Phellandrene,23,210,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,111.6,200,1224842,13895237,1224842
149,.alpha.-Phellandrene,23,225,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,115.4,200,563567,13895237,563567
150,.alpha.-Phellandrene,23,240,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,110.1,500,6085387.5,13895237,6085387.5
151,.alpha.-Phellandrene,23,260,Rabbit ears,l,Baited,Survived-Uncolonized,0.1,0,762.2794,3.601388889,1.134233333,2800,38.1,109.5,500,7200395,13895237,7200395
152,.alpha.-Phellandrene,24,160,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,108.2,200,343071,13895237,343071
153,.alpha.-Phellandrene,24,170,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,116.1,200,279225,13895237,279225
154,.alpha.-Phellandrene,24,180,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,114.5,200,827136,13895237,827136
155,.alpha.-Phellandrene,24,190,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,107,200,239195,13895237,239195
156,.alpha.-Phellandrene,24,200,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,107.8,500,5907257.5,13895237,5907257.5
157,.alpha.-Phellandrene,24,210,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,116.8,500,9143252.5,13895237,9143252.5
158,.alpha.-Phellandrene,24,225,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,116.1,200,1223591,13895237,1223591
159,.alpha.-Phellandrene,24,240,Rabbit ears,l,Control,Control,NA,NA,762.2794,3.601388889,1.134233333,2800,66.04,118.5,500,6561375,13895237,6561375
